relative_path,source_revision,content_sha256,classification,subsystem,source_review_status,reviewed_symbols_or_ranges,test_evidence,runtime_validation_status,issue_references,remaining_review
schema_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,002df0dde5face40db725562b38e3dd24124c407d6349a890ebfd8f2b706fe73,first-party test,tests: schema,PARTIAL,18-85 TestCatalogCurrentRoundTrip; 127-157 TestCatalogLegacyMigratesAndBacksUp; 159-end TestCatalogNewerSchemaIsReadOnly,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 4}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,OB-001,Outside listed ranges remains unreviewed; see PERSISTENCE_REVIEW-2026-09-19.md for missing failure/OS tests
scripts/banned-phrases.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,303e20cf03f30db96608d5f9a95a0ad48293c48f11acf4ac44e2d214983867f1,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
scripts/prose-lint,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,ae7f9f7f815aaf4294ac2b71205251bab8d20ad45c94c71c97e1e639433039b2,build/CI/configuration,build and tooling,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
seeing_what_happened_test.go,3ea444ae528af7343818142c867a8f955f9252aa,86a775030bc82fb1404071a430bc238430b9d72e8064d46d53e69a3b64575d18,first-party test,tests: seeing_what_happened,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
settings_test.go,3ea444ae528af7343818142c867a8f955f9252aa,ef5c91bc629adfbaa305d479937e6723245d2a28951104b69ed9faf02331c668,first-party test,tests: settings,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Outside listed ranges remains unreviewed; see PERSISTENCE_REVIEW-2026-09-19.md for missing failure/OS tests; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
setup.go,3ea444ae528af7343818142c867a8f955f9252aa,7be4fb9f09a33c39fe1f505e9721979474a1cd60b814d6c52a9f5a4c1ec2bce9,first-party production,setup,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004;OB-002,Separate review of new candidate; no full-file safety conclusion. Prior residual: Source read complete for this file; platform and untested failure paths remain; not whole-product assurance; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
setup_test.go,3ea444ae528af7343818142c867a8f955f9252aa,eefe9bcb661f3891823a47fa41095c78fd5eb151f022eb8bf430f172027b156d,first-party test,tests: setup,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Outside listed ranges remains unreviewed; see PERSISTENCE_REVIEW-2026-09-19.md for missing failure/OS tests; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
smart.go,3ea444ae528af7343818142c867a8f955f9252aa,19b3b3f6239aeef4588ec4498518562fb5c3a2758658a98e6f09a43512d5bba3,first-party production,smart,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
smart_test.go,3ea444ae528af7343818142c867a8f955f9252aa,a05f3523aa76f09961ee02b1179786ab7cea273f024c654a9fda46128f0644f3,first-party test,tests: smart,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
smart_unix.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,d3c98a10cfd7f868557b913e2b002949f5b263c81b7fb758e495f3133cc91f93,first-party production,smart_unix,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
smart_windows.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,1d3efcf5ab87be4ebe40602f45022e63e97ed59de69cee1e5c8e9a3f7ec23122,first-party production,smart_windows,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
snapshot.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,76ab5a779c8d7c3bc684d421403c775d32e6a7a28c50fed25ce8b97db1a13e00,first-party production,snapshot,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
snapshot_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,0b45e1e13cddb603951819df13aa1c4cb24090df13aeaef4d5067a3ce95f4a4f,first-party test,tests: snapshot,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
sourceless_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,49a4d9819047374e98bfcda5fd9cc03bdbba3332d0e1ed4777b64a0b8b0c6f16,first-party test,tests: sourceless,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
space.go,3ea444ae528af7343818142c867a8f955f9252aa,bbe0b4e55ed48c6132e6ac8f1589c62ecd4807d0dee6125edd175077f6c6888c,first-party production,space,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
span.go,3ea444ae528af7343818142c867a8f955f9252aa,6a47340de6c5b6a862660f9c032e8b041cb970e254166ba6c85d6058b50783b6,first-party production,span,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
stenc.go,3ea444ae528af7343818142c867a8f955f9252aa,982e6c74c9741c48bc462171acf8bb6c7a3ed76fd04a8fc178ce1cddc4307571,first-party production,stenc,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
stenc_test.go,3ea444ae528af7343818142c867a8f955f9252aa,154662ab4c32c11e4d2522d5fe71d332218f1630dc07019300dce6893318ab8d,first-party test,tests: stenc,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
store.go,58711f5d13132246fe048cd8f749cf16d67c1fc1,18b43c41a396671c7ee874210b015127fcef81b8747d86adc2a9a97b45754217,first-party production,store,OWNER_ACCEPTED_BOUNDED_JOB_LOADING_SCOPE,Store.jobs state; openStore jobs caller; saveJobs/writeJobsRows/NewJob gates; prior bounded coverage remains historical,"PERSISTENCE_REVIEW-2026-09-19.md; precise baseline/probe symbol coverage, not full-file runtime coverage; C:\Users\nsott\AppData\Local\ObeliskDev\persistence-20260919-131458-90213423\logs\probes.jsonl; reviews/OBX-004-JOB-LOAD-SAFETY-IMPLEMENTATION-2026-09-19.md; reviews/OBX-004-JOB-LOAD-SAFETY-FOCUSED-RECHECK-2026-09-19.md",AUTHOR_TESTED_BOUNDED_SCOPE,OB-001;OB-002;OBX-004;OB-006;OB-007;OBX-004,"Owner accepted bounded job-loading slice and restore-member R1 closure; earlier outside-scope residuals remain. Not whole-file certification; storage identity, cross-file transactions, concurrent writers and runtime limitations remain open."
tape.go,3ea444ae528af7343818142c867a8f955f9252aa,2919ff9bc9d03dbe2c9a4c89587bc8a74186ee15b8a70a5df381b8621978de8b,first-party production,tape,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
tape_parsers.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,5425ffe8a3ec915e204b763eb3fecd5d3b9a43606215607c65aebf02a837e565,first-party production,tape_parsers,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
tape_test.go,3ea444ae528af7343818142c867a8f955f9252aa,504be41bd4d1f12f29705b4f6c7a13a0fd6235e135b48be87b738e9cfe882c0b,first-party test,tests: tape,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
tar_names_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,ae9cf03ccaa1d054fa7dd1db974a3467c5dfde91b627a4bf13d675546dc568e2,first-party test,tests: tar_names,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""skip"": 2}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
tar_unicode_names_test.go,3ea444ae528af7343818142c867a8f955f9252aa,0a9c662bc2a6e6e43a104b0903f6056ffbe912bd72d029ac6e5f503d9fdabc83,first-party test,tests: tar_unicode_names,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
templates.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,dfce374db3b4907616ee0b42a7fb0cd37ae7b6843738862f7a83caa8fecc3f06,first-party production,templates,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/catalog_current.json,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,0a225a5c3beabe0914e685760688274079b4438707f4f0f8c626249ebe36cf57,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/catalog_schema1.json,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,da3104c2cbd1698879d2bcdb0b53f7db0ffd5bbfe84fc36935bcaf2f6d2a9e7c,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_hpltt.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,2b4d079beda560673a45a283810ff559be71b313fd3cf2a62ea54309481ee98d,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_itdt.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,f37b64362e4812eb9843a329ad2c20f5f8c9c678d585f7b60eb12e47a29b6ef1,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_sg_logs_alerts.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,c3fa85d64b2b5a574efcd32f7a5cda68997163d0d61a0a1168cc1d249d25a10d,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_sg_logs_stats.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,9e4e46f4a99271933755a8c12afabc1e45bfe93bc7606471e6f96d5b3395111e,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_tapeinfo.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,f8b9f42f073c8b750c33bcefa7188841765ea88e2b999f1461ebfa1b087dd186,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
testdata/tape_tapeinfo_clean.txt,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b5a7829a0f3447b057973a999e56bf33c345af957b7d4c058e049599c13e2122,test fixture,fixture,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
tools.go,3ea444ae528af7343818142c867a8f955f9252aa,033c3118c62895d619843a880f834ff6b65c279e1de0663475ad7c9c54f9bb9d,first-party production,tools,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
tree_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,7fac45e28cf3fdf121ea0c8c4c679d33d30919bd401a31234af8d1c1f5d553b8,first-party test,tests: tree,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2, ""skip"": 1}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
treemap.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,c93d967973a7f8808d7cc2d558127c8f054e9a8618844252f110ca698e59501b,first-party production,treemap,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
treemap_test.go,3ea444ae528af7343818142c867a8f955f9252aa,4df18871ecf0c2bed641c843ba671bad5f00511b51a79953bcd0190d35a36667,first-party test,tests: treemap,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
ui/index.html,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,7c40475011aa6935273f14ffb3ae97b8e667b087f528f011d0d74d9a227e1656,first-party frontend,UI,PARTIAL,2678-2698 vKeys/status/sync error flow; 3757-3784 saveCfg request/error handling only,"PERSISTENCE_REVIEW-2026-09-19.md; precise baseline/probe symbol coverage, not full-file runtime coverage",SOURCE_ONLY_THIS_PASS,OBX-004;OB-006,Outside listed ranges remains unreviewed; see PERSISTENCE_REVIEW-2026-09-19.md for missing failure/OS tests
uimode_test.go,3ea444ae528af7343818142c867a8f955f9252aa,c9bcea36317ec710c10f311dd2f9feada3b434e62c13f03aeb952c5061e4fc15,first-party test,tests: uimode,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
verify_levels.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,787b1d2bd602ae5a9a5b0c947005aa47ceb6bd32af753a512cb2be6aee786c0a,first-party production,verify_levels,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
verify_levels_test.go,3ea444ae528af7343818142c867a8f955f9252aa,6a0ec5b763c1a0e92a1b2ab466965b790e78b41e6c30a1d04e46504c4b465c3b,first-party test,tests: verify_levels,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
versions.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,3cdd6491bd72b032a2efd46db3bcc011bbd6b6301708243bf3b813c0a4e20b72,first-party production,versions,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
versions_test.go,3ea444ae528af7343818142c867a8f955f9252aa,81a0b28ea4077b0c8e7f0e83021238667e416b96c6f9d0bcf5261caa366e5a2d,first-party test,tests: versions,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
volume_identity_test.go,3ea444ae528af7343818142c867a8f955f9252aa,8774ea98e908e0570b6d177b463d0cb1bdd2ed8df296a5716e9bde052b7a5217,first-party test,tests: volume_identity,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
writer.go,3ea444ae528af7343818142c867a8f955f9252aa,6f049544015b84ef05de41ed87fe5985a8de50b455d60fb7dd81a42b2fff8294,first-party production,writer,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OB-006; OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Outside listed ranges remains unreviewed; see PERSISTENCE_REVIEW-2026-09-19.md for missing failure/OS tests; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
writer_flush_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,257123cd088ced2762ed440f322c2f1bb7cbef6e43471f5db5dc11a80b0e6f85,first-party test,tests: writer_flush,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2, ""skip"": 1}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
docs/Obelisk.fig,LOCAL_UNCOMMITTED,69c5dd577d262c782ae657ac9538cf4c38530c6ed9af7f79beaeed87f92fddda,local design artifact,review/design,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained separately
docs/development/NEW_DESKTOP_BASELINE-2026-09-19.md,LOCAL_UNCOMMITTED,4a54cc02eba76e52ab3cdafac17855c3ad17b876c789f9e7b90dfc866d1b8061,current baseline evidence,review/design,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained separately
docs/development/CODEX_HANDOFF.md,WORKTREE on 26918c5b8ed01ea301fc9a4c7658e19054a73632; R1/R2 follow-up,d72ddd352579c351ab9311b70e63c23a8dcf7d8bed0b4d86583fcf12af39e21d,reference/documentation,configuration initialization,CHANGED_AWAITING_FOCUSED_RECHECK,R1 no-replace publication and lifecycle; R2 container first-use guidance. Existing accepted read/update behavior preserved.,reviews/OBX-004-CONFIG-READ-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; target/safety/full,SOURCE_AND_SYNTAX_ONLY,OBX-004 R1/P1; R2/P2,"Focused recheck; no general concurrency, job-loading, Docker runtime or repository-wide certification"
keystore_validation.go,d147a823262757065d7817a233c0327523916e2a,29bba5f7557fbecb7fefe9dcef0bcf62dce7d28f060e165bcf3306d9f3ac0593,first-party production,keystore validation/conflict,OWNER_ACCEPTED_BOUNDED_SCOPE,Owner accepted 2026-09-19 after detached-review execution; provenance disclosed in report. Entire new file; see implementation report.,"reviews/OB-006-KEYSTORE-VALIDATION-IMPLEMENTATION-2026-09-19.md; targeted-ready and suite-ready manifests/logs; exact candidate archived; reviews/OB-006-KEYSTORE-VALIDATION-DETACHED-REVIEW-2026-09-19.md; reviewer 20 targeted and 39 safety passes, 40 subtests; raw AppData evidence LOCAL ONLY",TARGETED_AND_SUITE_EVIDENCE_SCOPED_TO_SYMBOLS,OB-006; OB-011 residual,Multi-store atomicity; concurrent writers; retained generations; GenerateKey/catalog coordination; broader ACL/key-security validation. Rest of pipeline remains partial. Publication adds no new runtime validation.
keystore_validation_test.go,3ea444ae528af7343818142c867a8f955f9252aa,878452c2cd3d7e5f3afafcbbde4aa41ae1c3c957e9242f7fd1114e5cad90b86b,first-party test,keystore validation/conflict,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OB-006; OB-011 residual; OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Multi-store atomicity; concurrent writers; retained generations; GenerateKey/catalog coordination; broader ACL/key-security validation. Rest of pipeline remains partial. Publication adds no new runtime validation.; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
